batch_size: 200, epochs: 10, hidden: 200, rho: 9.000000e-01, decay: 9.900000e-01
eta, lambda, accuracy, cost
3.092435e-03, 5.283518e-11, 2.307692e+01, 2.080440e+00
3.704681e-03, 4.131695e-06, 2.427572e+01, 2.034905e+00
1.991037e-02, 1.377682e-04, 4.275724e+01, 1.633720e+00
7.552943e-03, 2.676471e-03, 3.176823e+01, 1.874191e+00
7.028184e-03, 5.141183e-02, 2.427572e+01, 2.033589e+00
2.366775e-02, 2.614726e-03, 4.265734e+01, 1.617900e+00
2.297801e-03, 9.677322e-02, 1.818182e+01, 2.271052e+00
6.111572e-02, 2.209197e-15, 4.335664e+01, 1.668501e+00
3.136249e-02, 2.114228e-07, 4.435564e+01, 1.567492e+00
3.914428e-02, 8.752379e-09, 4.425574e+01, 1.575561e+00
2.975242e-03, 3.203527e-08, 2.267732e+01, 2.094034e+00
