eta, lambda, accuracy, cost
1.038359e-01, 1.386261e-10, 5.274725e+01, 1.344971e+00
9.917143e-02, 1.753678e-09, 5.254745e+01, 1.363299e+00
9.569354e-02, 1.140650e-14, 5.094905e+01, 1.376224e+00
9.140652e-02, 1.030383e-12, 5.344655e+01, 1.325865e+00
1.099891e-01, 9.020938e-14, 5.154845e+01, 1.364965e+00
1.066521e-01, 6.385592e-07, 5.154845e+01, 1.365752e+00
9.355183e-02, 3.442522e-10, 5.044955e+01, 1.375067e+00
9.451799e-02, 3.961349e-09, 5.154845e+01, 1.367368e+00
9.515092e-02, 2.445823e-12, 5.274725e+01, 1.359935e+00
9.825237e-02, 3.036188e-11, 5.204795e+01, 1.368021e+00
9.629349e-02, 7.209384e-08, 5.084915e+01, 1.364548e+00
1.047855e-01, 8.131291e-13, 5.254745e+01, 1.363001e+00
1.051646e-01, 3.715098e-07, 5.084915e+01, 1.420674e+00
9.407366e-02, 2.348344e-10, 5.324675e+01, 1.371347e+00
1.084173e-01, 6.915038e-09, 5.214785e+01, 1.392447e+00
9.273756e-02, 3.181790e-14, 5.294705e+01, 1.334563e+00
1.010831e-01, 2.001019e-06, 5.394605e+01, 1.334524e+00
9.844321e-02, 5.663130e-11, 5.204795e+01, 1.370007e+00
1.037073e-01, 3.096486e-10, 5.254745e+01, 1.370659e+00
1.009343e-01, 3.021468e-09, 5.164835e+01, 1.367935e+00
9.197613e-02, 1.948335e-04, 5.204795e+01, 1.361996e+00
1.088230e-01, 1.422749e-07, 5.194805e+01, 1.377266e+00
9.772526e-02, 1.727808e-06, 5.224775e+01, 1.382967e+00
1.071158e-01, 3.649331e-08, 5.364635e+01, 1.370177e+00
9.947244e-02, 3.440489e-07, 5.114885e+01, 1.369329e+00
1.032321e-01, 1.558754e-13, 5.374625e+01, 1.345678e+00
1.047816e-01, 2.934926e-09, 5.264735e+01, 1.339401e+00
1.033447e-01, 2.406641e-12, 5.164835e+01, 1.346762e+00
1.099213e-01, 1.591922e-14, 5.444555e+01, 1.348196e+00
9.215175e-02, 4.645365e-05, 5.114885e+01, 1.375665e+00
1.051571e-01, 2.189380e-10, 5.184815e+01, 1.358522e+00
1.038387e-01, 3.547622e-14, 5.184815e+01, 1.382965e+00
9.257809e-02, 9.250024e-05, 5.244755e+01, 1.376822e+00
9.901242e-02, 3.445417e-05, 4.965035e+01, 1.374156e+00
9.322669e-02, 1.576118e-06, 5.034965e+01, 1.331304e+00
9.412432e-02, 1.087446e-12, 5.224775e+01, 1.372602e+00
9.208667e-02, 7.812167e-12, 5.274725e+01, 1.363647e+00
9.657142e-02, 3.853170e-11, 5.314685e+01, 1.350858e+00
9.409173e-02, 2.580833e-14, 5.294705e+01, 1.363753e+00
9.020735e-02, 2.203770e-10, 5.244755e+01, 1.372971e+00
1.032688e-01, 4.860414e-05, 5.044955e+01, 1.423849e+00
1.019391e-01, 8.896031e-11, 5.234765e+01, 1.364210e+00
